Displacement (mm),Load (N)
0.0001302415944866,1.19145977497101
0.000223665344111887,0.738796412944794
0.000279075292741291,3.02756881713867
0.000168349950957045,1.12851667404175
0.000551001134585058,3.90190315246582
0.000440877697104989,3.95488166809082
0.000236358671390044,4.03967428207397
0.000230870361139332,4.30658721923828
0.000279394610646741,5.29273796081543
0.000468104017858459,4.47317266464233
0.000231686433682208,4.90796184539795
0.000385902778265554,5.8509202003479
0.000385286965087326,6.57275438308716
8.87404479672481e-05,6.07928419113159
0.000315232211977709,7.23220348358154
0.000360609560078993,9.06909561157227
0.000311556830201007,8.36493968963623
0.000226097979538318,9.27390003204346
0.000356783983778805,10.5122222900391
0.000251232633007967,10.0964984893799
0.00058435438008386,11.7419462203979
0.000473126133914812,11.5816202163696
0.000809900482767298,13.2436246871948
0.000429602890239076,12.363317489624
0.000357073245726533,13.4090270996094
0.000318011414623507,13.1134061813354
0.00068431557851367,15.3556394577026
0.000430623144342499,15.4143733978271
0.000256398875552841,15.8001251220703
0.000424168545709145,17.6617298126221
0.000206355954634583,17.3601665496826
0.000641275788115345,18.7743911743164
0.000369015593281838,18.8348178863525
0.0005732476023641,19.222993850708
0.00033014344866755,21.4858436584473
0.000352697496186047,21.6291236877441
0.000350104100465651,22.8950901031494
0.000418950575653107,23.1785640716553
0.000381398505755024,24.1178932189941
0.000366255845296146,21.3396053314209
0.000468851650925026,23.1461048126221
0.000474789457615807,23.2385425567627
0.000507677070249011,25.31032371521
0.000428255019091048,24.5716152191162
0.000337008016248583,26.055269241333
0.000448445403566475,28.0716781616211
0.000540383892388527,28.6795463562012
0.000724115066663253,30.0323829650879
0.000674459839177908,29.9890232086182
0.000554637038607362,32.5075263977051
0.000507349424782697,32.4388999938965
0.000434325782538545,34.0888023376465
0.000756286736435905,35.4325942993164
0.000547549943252343,36.3608932495117
0.000246608236142529,37.9892044067383
0.00061720970565515,39.6910057067871
0.000581827178524727,41.4302635192871
0.000629243343741146,43.40673828125
0.000462114455234805,43.1177291870117
0.000780520791198833,44.3873634338379
0.000727777658670712,48.1150207519531
0.000596666096174922,49.0220260620117
0.000412310184305207,49.1240615844727
0.000559777673192039,52.9428558349609
0.000657128223923828,54.3641738891602
0.000504941253342659,54.8086624145508
0.000684868551292348,58.3002548217773
0.000855640506091768,60.133358001709
0.000553349790965549,62.2698822021484
0.00063605722120341,63.3447036743164
0.000770955464890031,66.0631637573242
0.000812295807594674,68.3304061889648
0.000883876451229335,71.4481811523438
0.000714919108890208,71.8754653930664
0.000845192856235408,73.3506698608398
0.000711543576147997,76.7648468017578
0.000680832156962461,79.6677322387695
0.000754959442605505,80.618782043457
0.00107254856915828,82.5567398071289
0.000841609845014355,86.9278793334961
0.000648913042499808,87.9200286865234
0.000784958841126391,89.8187789916992
0.000823875494137647,93.47314453125
0.000720907506223776,93.6871109008789
0.00105756225652298,97.0830078125
0.000956365509540811,99.5871429443359
0.00122386114584882,102.021629333496
0.000983957873490035,103.788703918457
0.000877310070012791,106.584976196289
0.000893549097912947,108.999267578125
0.00077561099773815,111.610961914063
0.00106039482092823,114.008361816406
0.0010906973654019,115.916549682617
0.000751759101280223,118.438423156738
0.00102826765955255,121.442932128906
0.00117501752869797,123.517845153809
0.00102026603885319,125.991142272949
0.00063867736175238,127.093162536621
0.000886390863019224,130.698135375977
0.000910712797707711,132.239395141602
0.00141386106919894,135.614166259766
0.00116090012456338,139.059967041016
0.00113209892846866,141.027435302734
0.00100696973790404,141.410369873047
0.00116817630955124,145.781463623047
0.0011299082967926,146.843276977539
0.00103854784869694,148.827865600586
0.00118980807259872,152.206192016602
0.000955942139757135,153.775619506836
0.00126104322193354,156.2734375
0.00106992734858435,157.876831054688
0.00123731370935642,161.040344238281
0.00145222241885134,162.363510131836
0.00136232443823614,166.389419555664
0.00122126658483834,168.680160522461
0.00105920326918207,170.100006103516
0.0013975774760584,172.719543457031
0.00141661854344788,175.224914550781
0.00132549888407451,177.762939453125
0.00142704555914319,179.854766845703
0.00138233298061463,181.467361450195
0.00151329885342788,183.837478637695
0.00138546437087283,184.405349731445
0.00152690716790316,187.717697143555
0.00142397885669565,189.869537353516
0.00155234675789328,192.564224243164
0.00158095707378747,195.781280517578
0.00138122817192565,197.274230957031
0.00153848298909365,200.024841308594
0.00137421790045122,202.003356933594
0.00166468526971952,203.338836669922
0.00133788790721523,204.943634033203
0.00149386113266159,207.021209716797
0.00129875337337948,210.587829589844
0.00136844761131582,210.894439697266
0.00142764480246482,212.829620361328
0.00141593153388752,215.025650024414
0.00139621562142933,215.918869018555
0.00160277516956197,219.132232666016
0.00162651957511484,218.691055297852
0.00150287672626659,220.601837158203
0.0017461878184295,220.193481445313
0.00159144695830404,222.450546264648
0.00175772305341892,223.914367675781
0.00174934035443952,225.384292602539
0.00151265072476603,223.99250793457
0.00145445988950454,225.147811889648
0.00163944997497678,226.870056152344
0.0013843934408615,227.573150634766
0.00159436245725741,227.814865112305
0.00164990029647383,229.213241577148
0.0014686262926662,228.723022460938
0.00164450778870018,230.01383972168
0.00135993860625971,230.993392944336
0.00174658720029041,230.663604736328
0.00165387217352331,232.003570556641
0.00165601448829333,233.049514770508
0.00156563026907319,234.236190795898
0.00183847288157635,235.021530151367
0.00152874571144279,235.57649230957
0.00157990240099392,235.433517456055
0.00152434728137818,238.346984863281
0.00158159121896828,238.478073120117
0.00166520049846808,239.393905639648
0.00160718815154181,238.597244262695
0.00165854504361418,241.195053100586
0.00161924680073211,242.708953857422
0.00183235937187787,244.886947631836
0.00176163649543381,244.598876953125
