Displacement (mm),Load (N)
0.000200773228028649,0.21688736550048196
0.000355843446028413,0.5402790730295342
0.000228896807937982,0.9835523967727258
0.000160929807021713,0.18593782885218818
-5.84270136859037e-05,1.929270759012758
0.000222561829174193,1.816688831586591
0.000143649336633754,1.9440636728000156
0.000224851499849475,2.5296273582536677
0.000341664842847987,3.1955638248857148
0.00015168433863084,2.2533654136647088
0.000325601532166385,4.110908446038062
0.000329026024855804,3.7700906414833657
0.000346922859092612,3.6434188964043974
0.000327913457040151,4.103070676514766
0.000445790411459822,4.734004209003641
0.000315025426841541,5.376597359450951
0.000524633896089764,5.831270961437373
0.000451066233905405,6.135656036149218
0.000604850334026306,7.278136471505555
0.000472919359436784,6.937871321016537
0.000393666431660787,7.383834064960043
0.000493161485634229,7.25729440372596
0.000455207220125996,8.627651896379582
0.00057904089233136,9.414989867313333
0.000376499456264011,9.547970165704514
0.000398018818556121,9.233784183601951
0.000618982204811001,10.132806913174486
0.000928515197825729,10.797214402013921
0.000435207630585975,9.394982741094523
0.000409725294344863,10.273979270968857
0.000447875371220217,11.381844202232353
0.000610028229472047,11.810411932961214
0.000489968406055706,11.77718116347295
0.000608094586892659,12.85861406698109
0.00041326771936485,13.864927025538172
0.000499589936294907,12.388794215001472
0.000450104969059904,14.912806817756175
0.000645125431061498,14.724431413137548
0.000717522687251514,15.814681986173278
0.000563716332932128,15.651911773977927
0.000287420299768425,16.956925910385042
0.000277380453924846,18.03345406866493
0.00070670848260863,19.135458673382182
0.000407889550343608,18.952532561828736
0.000571199484808059,19.998340974183666
0.000575264812438146,21.639100800135452
0.000711643855607801,21.320066339568857
0.000475803153973285,22.315034392577587
0.000469323530024777,23.61182118364462
0.000433282898212493,23.58717252621332
0.000627146284001466,25.46922140334095
0.000803691313263809,25.36400064687153
0.000770721391360095,26.560647856381777
0.000526979198708542,27.180711412959425
0.000940404112567304,28.62354955785184
0.000815707159359701,29.17265404900998
0.000674354885473914,30.17491007849822
0.000647922411486544,29.96424159115446
0.000964328882288211,32.254832952986696
0.000743750439665856,33.56885454004141
0.000873941366149776,34.73684193940214
0.000780794670459838,35.07390846739545
0.000868681133011816,36.73893929588639
0.000807696614243579,37.783982861717284
0.000859377798020543,38.553300209311935
0.000707456144096906,39.067288517542906
0.000809521231145592,41.119304984318234
0.000961632003123779,42.73899052287863
0.000871638298191212,43.22892335888774
0.000927820969151182,44.381705380469164
0.000959489176762983,46.75101299179365
0.000985627940805099,47.18656352333161
0.00105919565983288,49.269376029949576
0.000907943735070259,51.00022180646496
0.000950933560103405,51.56840931376511
0.00113357101015583,54.13159121381968
0.00107748849729989,55.57493862061249
0.000970870763991226,57.424059042900296
0.00106349683080782,58.486104708270034
0.00119659154650082,59.99741092217217
0.00138985416840671,59.99142184964006
0.00142154232805853,62.38056969423854
0.00122147088775466,63.34733188590746
0.0014414664011166,65.24310985350883
0.00142720097671929,65.75729271122967
0.00151407056735127,68.1676006738765
0.00128587107071882,70.36410256181848
0.00139312277867804,71.75217883999966
0.00150002990183213,73.12278381104866
0.00138308968787544,74.77853729915829
0.00151993601236984,75.95974261974453
0.00164853151461659,78.0622961775439
0.00153770594722675,79.33316973949499
0.00157270080224054,80.52621587609408
0.00163742135471341,82.35494293420562
0.00139782679896245,83.45259878561924
0.00162487589848399,85.93184593221731
0.00143141307405687,87.07234081836769
0.00161557711096622,88.87965217380625
0.00165587443377819,89.96351408491618
0.00171598441654725,91.21479536882585
0.00150367026806282,92.0078630129721
0.00180211754384447,94.53728866918104
0.0017577147619487,96.82951653554585
0.00204944223612631,97.84597277044877
0.0019826100643296,99.11397768109832
0.00186249457699534,101.68574646157991
0.0019774588000256,102.90236741872005
0.00182262221558278,104.99233248011339
0.00173044560967912,107.01505208252738
0.00209195804388957,108.07301220860933
0.00222179523377792,111.79661315139789
0.00195440640625395,113.06168074621957
0.00230405198096934,114.36124845058308
0.00225397292895297,117.14560260308856
0.00224933564284231,119.27217348615056
0.002107271433557,119.95717079600482
0.00211504397527835,123.77569663108142
0.00240776598191234,124.77889298310448
0.00237469584506118,127.5742410891371
0.00245331688718226,130.36846767458087
0.00264066279130577,131.48277085881637
0.00235087345033764,134.62502740821355
0.00246054191309315,136.46010974966168
0.00260626433744266,138.87745201151236
0.00248689202096659,141.3295690410089
0.00270076174645157,144.1973811099857
0.00249896783686938,146.214790655734
0.00273227641998903,149.56410889752
0.00278004558283658,151.36734615775848
0.00287654342544203,154.59381593341178
0.0027509476640954,156.3699993704663
0.0028130179490073,159.49856879104448
0.00293571901609186,162.10808017256693
0.00307648378482201,163.65167397240074
0.00310879744945498,166.11470103211522
0.0029902038878173,169.06727564355526
0.00309234218918948,173.07185182611138
0.00335962449214651,174.2288338278573
0.00325874743255201,175.67538176449338
0.00310882177843825,179.0689504784924
0.00308238913392063,182.34075409998835
0.00332373060162001,183.88990209702436
0.00329829703703228,186.4829339923434
0.00347637087004489,189.9077679537782
0.0035558684376848,190.3895945610415
0.00356444883807501,194.40132711306947
0.00360098551398198,195.259557392245
0.003639587424983,198.20103886806402
0.00350243630607667,200.26323294344868
0.003708275193345,203.5135979740966
0.00382415186693481,205.78030552502167
0.00395003707497028,208.5386053046636
0.00376444467663179,211.3296351749597
0.0038300351607869,213.48530455819738
0.00405212876473899,216.26646199555518
0.0039246660381433,217.57160678529587
0.00401265942316615,222.19062366270245
0.0039966295790474,223.72046929858305
0.00421796420967086,227.9751674606267
0.00405296777360138,230.19463381776833
0.00407179022120192,232.31964830491154
0.00424328408742087,235.2913269133201
