Strain,Stress (MPa)
7.47307175064457e-06,0.234675263293767
1.96316066367421e-05,1.2444466108202008
4.2377118262740995e-05,2.9903184098207394
7.669107570247656e-05,5.432776889853387
0.00012091724118501809,8.801014718526893
0.00016711053856990692,12.360709389982135
0.0001909274352160741,14.027062541602008
0.00021952766099413786,16.088497991064646
0.00025866736094169214,18.80454786366264
0.0003044836956919626,21.915017852354584
0.00035067580163879256,25.311087659727978
0.0003992059878160236,28.828674123036844
0.00045708927635271007,33.00909129172643
0.0005182493535189883,37.38068675935156
0.0005858413350156499,42.16493347069672
0.000645969994258414,46.46343699087177
0.0007092406826646061,51.039872923260454
0.0007740763480628835,55.62459433942415
0.0008425386737885878,60.51604313961082
0.0009072678104362444,65.00257773466232
0.0009689734112557946,69.13700362821375
0.0010255944622999979,73.06770194062443
0.0010820882772182108,76.9932516592241
0.0011495234880217343,81.73143574096494
0.0012156551906459957,86.16175581124618
0.0012773328401467757,90.43047892982871
0.001345192477930616,94.97566591189558
0.0014158928998599754,99.63895413146585
0.001492124627003725,104.67359928886793
0.0015741415553580031,110.0407117237246
0.0016634199767227278,115.82398973278656
0.0017472485253906803,121.10022782604186
0.0018395913239887909,126.5991164588239
0.0019260628671704785,131.50532062447058
0.0020234246911800475,136.94400724807142
0.002124635636465901,142.21990087148993
0.0022318289497721,147.3258114250323
0.0023448738792299297,152.36860132567617
0.0024681720066669394,157.3595691840689
0.0026079174595738746,162.43443021072005
0.0027625015237222428,167.24607543776116
0.0029259968547935594,171.66420324421813
0.003113886201646461,176.00087820516066
0.003337537520457338,180.21641296648943
0.00358087812772421,184.023307589298
0.003855966357406507,187.5540933986041
0.004161234234817604,190.7559262609409
0.004499674122672806,193.66781738532816
0.004869475471679402,196.24486955743424
0.005270718154389688,198.59317456600175
0.0057912694522033415,201.67140279309228
0.00741655863810731,207.0200873219284
0.009387707733441424,210.73651875249107
0.011440185061548187,213.58920436972485
0.013534488598708342,215.96029359749917
0.015642625349466036,218.1090629767903
0.017748479102630447,220.09370724183012
0.019835897465128725,221.99128823191347
0.02191860785231394,223.82081477683516
0.02398747613177105,225.58350334721942
0.02679893943426865,227.3020879680963
0.03032645313946266,228.94784379187354
0.03385422798750655,230.53674339278453
0.03738170406726858,232.08687242146175
0.040908920121767674,233.56812716676606
0.04443688142059102,235.0136830265814
0.04796413454172867,236.38390038048576
0.05149175870178004,237.7109605848345
0.055019795623996455,238.98251291967847
0.05854716050384298,240.1999411695616
0.06207471164820446,241.39199675546456
0.06560256118831889,242.49668298035579
0.06913007433471938,243.57414526194333
0.07265784974155685,244.58793278629466
0.0761852511292483,245.57689387740697
0.07971294979510564,246.50504029512788
0.08324061456082124,247.38573943752579
0.08676849986372251,248.23033814102482
0.0902964227920558,249.0285328207062
0.09382352876422666,249.80032142689674
0.09735178734121583,250.4923731394598
0.1008787051862265,251.202404209106
0.10440696450827378,251.80992597631248
0.10793432938812039,252.44103703794428
0.11146262521801255,252.97497217441006
0.11499032537398599,253.52534442728947
0.11851787726340549,254.01776701162032
0.1220455021685149,254.48611804375435
0.12557316507158536,254.9054155869258
0.12910105149207374,255.29534658440872
0.13262938718257206,255.6685727632053
0.1361571603542353,255.98294085728355
0.1396847845142867,256.28084722996033
0.1432121121412303,256.5384732683185
0.14673944200334807,256.7871342331234
0.15026755119619623,256.96196842250157
0.15379476557431476,257.1422619666933
0.15732291351018207,257.2398305874735
0.16085061292109745,257.32536441635455
0.16437864835319776,257.2935619768199
0.16790649677572506,257.2117129909932
0.17143434594331047,256.9722503550308
0.1749624208634879,256.5409209725588
0.17848989452181116,255.81612887830536
0.1820183047181155,254.66604349732035
0.18554581786451596,252.84881255717414
0.18822706776043707,248.64434886713164
