Strain,Stress (MPa)
8.22105065107448e-06,0.17799310461390735
-2.0493697130479285e-06,0.4486330727435442
2.7795277864168715e-06,1.3835778924214739
1.5152737431905572e-05,4.364761078673031
4.7557891135413093e-05,9.26090027246756
9.540880527846803e-05,15.972516285389602
0.00011764231766928046,23.48000296371471
0.0001672922493488767,30.54913264042627
0.0001897381580382824,37.29863610985434
0.00023430366909077912,44.58656129088641
0.00028842431401780396,52.87283525043429
0.0003381571075768913,61.73078780216923
0.000381556262978749,70.4745610532866
0.0004260737905459717,78.69640290321125
0.000467596593622049,85.83271010653446
0.0005115642596100695,93.28388562770665
0.0005502660997043603,99.76813440667682
0.0005882686678850332,106.4552471206299
0.0006316987541103043,112.79778856956675
0.0006703444325429626,119.49477905400069
0.0007241287419636973,126.28663577033518
0.0007698322593531809,134.75206772348486
0.0008291920768860036,143.25348056978254
0.0008988976571307754,151.51087796414942
0.0009521802747220972,159.5093765832196
0.0010159170813457347,168.07386843709824
0.0010964187857060931,178.0227833406316
0.0011861776676559126,188.36376700963766
0.0012965169653360972,199.43462622633396
0.001405743868050096,209.289481302491
0.0015243450156011856,220.07646146874617
0.0016827093239006824,231.0708647692892
0.001846183252015082,241.13738961737607
0.0019930147367594074,249.02095367360715
0.002193076009822009,256.98205037411617
0.002449210620212301,265.61103906459505
0.0027509277895623133,273.0339525273182
0.0030877381888748372,278.8248712719015
0.0034609586675250193,283.38204588966687
0.003912536890671518,287.29316354098546
0.004326317119372009,289.7584837262855
0.004820501941681769,291.88964741122925
0.005763022936840472,297.58440675425584
0.007785509466153501,301.69721320916256
0.010002675894607717,303.50687811368954
0.012296533267904934,304.7449967339064
0.0146293854433642,305.5853990172144
0.017020840486471477,306.44621347212166
0.019408412426670005,307.0218356153126
0.021854281993542727,307.6682706694977
0.024304412933937633,308.08939922201745
0.027469799979449518,308.4567772143098
0.03099742525708796,308.77262477026875
0.03452549812835574,309.02730613209656
0.03805267711621647,309.3238383362001
0.041580636179865654,309.54415298381144
0.04510845070225117,309.7259848750877
0.04863588934284566,309.9167301391351
0.05216355001074194,310.0349163478504
0.055692034712852265,310.1115302571891
0.05921951060634977,310.243730370123
0.06274698761743429,310.43308839920735
0.06627539557856439,310.4189575982967
0.0698025749389541,310.50696528209164
0.07333072175723436,310.54384070891064
0.07685830978196984,310.63003010119047
0.08038645697277907,310.6051128406691
0.0839136732135427,310.62658073551864
0.08744170827311395,310.6667329227376
0.09096944530946136,310.6744892009082
0.09449703445178394,310.6681137649128
0.09802510676425821,310.64538283783554
0.1015527692947996,310.67036311298
0.10508054395657897,310.61459882458036
0.10860880290609716,310.52795463110795
0.11213661482077956,310.4812279182149
0.11566401583594206,310.45642024834234
0.1191922002796543,310.3317051767233
0.12271982667487981,310.2918726288967
0.1262476013366592,310.2090093128088
0.12977526423972963,310.1288894159631
0.13330359694999575,310.03346244524266
0.13683159810942536,309.9498767441279
0.14035914776367067,309.78296196666764
0.14388699767631408,309.6709073547541
0.14741428730529665,309.55872488708366
0.15094198820632815,309.4192506948339
0.15446965036434057,309.2902716337201
0.15799776030224688,309.11785083941174
0.16152568472069628,308.9997276453195
0.16505379316848637,308.8263004435528
0.1685814180735958,308.6591244750462
0.17210919497054938,308.49945729249487
0.1756368586186779,308.30454210425967
0.17916433302205925,308.12184627336853
0.1826920696858776,307.88920907055206
0.18621969757121926,307.6769319837766
0.18974803028148535,307.4445486659633
0.19327584368628387,307.2002491916009
0.19680361536783103,306.9399677476182
0.2003314280275714,306.6776387850132
0.20385923919719584,306.35708887696416
0.2073870891098392,306.09440465800583
0.21091497776550183,305.81708460789696
0.21444249165696047,305.451532213163
0.2179704138402352,305.1121053158537
0.22149796349448095,304.7546014410206
0.22502603841465807,304.3324509557006
0.22855358806890383,303.9263454546241
0.2320818872515572,303.43981868241764
0.23560936239999658,302.9730081811903
0.23913724658531077,302.3660129750068
0.2426652820174109,301.70281785759454
0.24619335544747237,301.03700261042
0.2497211681072127,300.23511504738644
0.25324901727479815,299.3974607495977
0.25677738947314144,298.4034479935969
0.26030486536663894,297.30345742715997
0.26383275104206927,296.0643689297009
0.2673611597482574,294.5955820853248
0.2708897159759412,292.9735765548254
0.27441760463160403,291.1629691707185
0.27794526529950053,289.1122441087574
0.281471811360539,286.8502931169942
0.2849996597830666,284.339763136032
0.2885278792445076,281.55171401528213
0.29205632669371495,278.4834050752686
0.2955844016138924,275.0533200516286
0.29911295784157654,271.26231283816753
0.30264173758667834,267.0714897136171
0.3061700732771766,262.43199242696465
0.3096988112990273,257.2573850069706
0.3132268489663018,251.48306924568433
0.31675551844281086,244.96277907039544
0.32028411639374615,237.57732277818548
0.32381274414700406,229.0752501048563
0.327341750389756,219.15967267669578
0.33087101442259675,207.15704362625465
0.3344035999242677,166.8430289191019
0.33695409852362346,44.122441862761946
